id,date,route,vessel_class,rate,bdi,bci,bpi,bsi,bunker_price,coal_price,usd_index
1,2021-01-01,Australia-Paradip,Handysize,33.24,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
2,2021-01-01,Australia-Paradip,Supramax,25.57,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
3,2021-01-01,Australia-Paradip,Panamax,21.27,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
4,2021-01-01,Australia-Paradip,Capesize,16.97,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
5,2021-01-01,Australia-Vizag,Handysize,33.27,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
6,2021-01-01,Australia-Vizag,Supramax,25.77,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
7,2021-01-01,Australia-Vizag,Panamax,21.06,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
8,2021-01-01,Australia-Vizag,Capesize,16.76,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
9,2021-01-01,Australia-Gangavaram,Handysize,31.59,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
10,2021-01-01,Australia-Gangavaram,Supramax,25.22,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
11,2021-01-01,Australia-Gangavaram,Panamax,20.98,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
12,2021-01-01,Australia-Gangavaram,Capesize,16.31,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
13,2021-01-01,Australia-Dhamra,Handysize,32.27,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
14,2021-01-01,Australia-Dhamra,Supramax,26.54,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
15,2021-01-01,Australia-Dhamra,Panamax,21.6,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
16,2021-01-01,Australia-Dhamra,Capesize,16.96,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
17,2021-01-01,Australia-Haldia,Handysize,32.95,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
18,2021-01-01,Australia-Haldia,Supramax,26.41,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
19,2021-01-01,Australia-Haldia,Panamax,21.91,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
20,2021-01-01,Indonesia-Paradip,Handysize,20.99,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
21,2021-01-01,Indonesia-Paradip,Supramax,16.36,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
22,2021-01-01,Indonesia-Paradip,Panamax,12.57,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
23,2021-01-01,Indonesia-Paradip,Capesize,10.09,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
24,2021-01-01,Indonesia-Vizag,Handysize,21.26,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
25,2021-01-01,Indonesia-Vizag,Supramax,16.42,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
26,2021-01-01,Indonesia-Vizag,Panamax,13.27,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
27,2021-01-01,Indonesia-Vizag,Capesize,9.97,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
28,2021-01-01,Indonesia-Dhamra,Handysize,21.25,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
29,2021-01-01,Indonesia-Dhamra,Supramax,16.08,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
30,2021-01-01,Indonesia-Dhamra,Panamax,12.21,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
31,2021-01-01,Indonesia-Dhamra,Capesize,9.52,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
32,2021-01-01,US_East_Coast-Paradip,Panamax,42.88,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
33,2021-01-01,US_East_Coast-Paradip,Capesize,34.02,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
34,2021-01-01,US_East_Coast-Vizag,Panamax,43.36,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
35,2021-01-01,US_East_Coast-Vizag,Capesize,34.48,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
36,2021-01-01,Mozambique-Paradip,Handysize,30.18,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
37,2021-01-01,Mozambique-Paradip,Supramax,24.42,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
38,2021-01-01,Mozambique-Paradip,Panamax,19.47,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
39,2021-01-01,Mozambique-Paradip,Capesize,15.76,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
40,2021-01-01,Russia_Far_East-Vizag,Handysize,34.39,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
41,2021-01-01,Russia_Far_East-Vizag,Supramax,27.57,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
42,2021-01-01,Russia_Far_East-Vizag,Panamax,22.01,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
43,2021-01-01,Russia_Far_East-Vizag,Capesize,17.95,1400.0,1617.0,1264.0,1145.0,430.0,135.0,90.5
44,2021-01-04,Australia-Paradip,Handysize,32.74,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
45,2021-01-04,Australia-Paradip,Supramax,27.07,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
46,2021-01-04,Australia-Paradip,Panamax,21.49,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
47,2021-01-04,Australia-Paradip,Capesize,16.68,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
48,2021-01-04,Australia-Vizag,Handysize,32.36,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
49,2021-01-04,Australia-Vizag,Supramax,26.05,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
50,2021-01-04,Australia-Vizag,Panamax,21.89,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
51,2021-01-04,Australia-Vizag,Capesize,16.31,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
52,2021-01-04,Australia-Gangavaram,Handysize,33.58,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
53,2021-01-04,Australia-Gangavaram,Supramax,26.23,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
54,2021-01-04,Australia-Gangavaram,Panamax,21.75,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
55,2021-01-04,Australia-Gangavaram,Capesize,16.58,1433.1,1654.0,1357.0,1265.0,409.55,134.3,90.46
